x,y
3140.938905,486407.5913
2475.282878,284011.2481
1661.494045,244776.1306
1863.850394,251400.1024
2757.343658,496984.5147
2141.331345,233141.7853
1828.994446,230799.3058
2138.261726,407969.7279
1681.094018,334172.5215
2375.003051,317989.4058
2548.326369,409621.2191
2072.554933,276632.2511
2443.266507,402208.7071
1657.239022,227054.5069
2346.483325,310773.3155
1843.538934,235633.9057
2648.501054,450103.678
2245.167796,422327.3779
1833.985379,294891.6752
1239.824096,190661.2626
2203.047175,291151.1799
980.4643227,116151.8614
1699.517521,252410.0755
1778.9084,180459.84
1924.025804,301442.9996
1574.71729,201309.3786
1898.230603,302216.4353
1181.862497,183596.962
2361.271978,294538.7253
1332.429571,236128.6046
2450.025588,474945.9386
1848.033934,331731.0402
2149.139193,254474.2856
2181.080083,421184.376
2236.369284,295531.3762
1831.088129,331147.8632
2575.551767,364020.2473
2507.900986,444766.5736
1652.725434,171655.7197
1354.944864,271740.0279
1868.845688,304747.0014
1582.312361,269027.4766
1523.300281,208417.8382
2557.295479,465054.4817
1451.245814,272731.7214
1594.847827,263236.0437
2033.983138,291504.6056
991.1966062,121901.5927
2339.575801,264391.4897
1658.931627,213679.3166
2871.20142,570678.8812
1666.443314,193318.9811
2456.435896,272506.9485
2135.053631,284094.0793
1429.661486,206806.5925
1571.54307,161623.8501
1518.938603,167466.3691
1621.248588,222440.5593
1900.445131,345385.1235
1679.771664,285181.6395
1487.727759,282472.5464
2748.791051,321696.7619
1372.340631,189968.6664
2034.18109,263585.1796
2355.817163,382242.5632
2004.615665,251779.3425
2005.928363,209869.6214
1570.299145,258886.0598
1830.427975,319861.0397
1709.529152,249152.1979
1628.414396,306114.492
2474.062015,316774.8759
2053.353453,406982.6302
2599.84932,421620.7405
2067.389709,330811.9638
1229.65742,186447.9555
2281.486042,323064.5319
1988.225829,356439.1975
1944.556792,259710.4965
1879.6717,314924.5022
1662.918237,196360.4337
760.8077056,86694.84762
1965.409796,264112.5029
2666.704027,380192.9718
1812.227485,311252.8999
1796.429387,243306.5379
1909.635491,260085.7913
1408.559572,204459.0187
2321.88475,452813.6415
1935.933523,209399.887
2037.053685,365697.5558
2042.912894,322804.3244
1519.182907,268786.0087
2320.326173,450096.9514
1430.470749,146840.5457
2573.662246,318325.4563
2740.070832,378373.704
2318.766246,305711.3782
1434.723049,208877.119
1418.425588,156145.9635
12,4794
100,14907
250,48317
776,133967
