order_num,sku,qty
TF1810050020220,18293107335,1
TF1810050020220,18293107336,3
TF1810050020220,18293107337,1
TF1810050020220,18293107338,2
TF1810050020220,18293107339,3
TF1810050020220,18293107340,1
TF1810050020418,18293107635,3
TF1810050020418,18293107636,2
TF1810050020418,18293107637,2
TF1810050020418,18293107638,3
TF1810050020418,18293107639,3
TF1810050020418,18293107640,3
TF1810050020171,18293306134,2
TF1810050020171,18293306135,3
TF1810050020171,18293306136,2
TF1810050020171,18293306137,2
TF1810050020171,18293306138,2
TF1810050020171,18293306139,2
TF1810050020204,18293306134,2
TF1810050020204,18293306135,3
TF1810050020204,18293306136,3
TF1810050020204,18293306137,2
TF1810050020204,18293306138,3
TF1810050020204,18293306139,2
TF1810050020220,28247909035,1
TF1810050020220,28247909036,3
TF1810050020220,28247909037,3
TF1810050020220,28247909038,1
TF1810050020220,28247909039,1
TF1810050020160,28247909035,2
TF1810050020160,28247909036,1
TF1810050020160,28247909037,2
TF1810050020160,28247909038,3
TF1810050020160,28247909039,3
TF1810050020145,15292313036,2
TF1810050020145,15292313035,3
TF1810050020145,16292400137,1
TF1810050020145,26241807637,1
TF1810050020145,16292300535,3
TF1810050020145,6291200837,1
TF1810050020145,26241804536,1
TF1810050020145,26241804537,3
TF1810050020081,6291200835,3
TF1810050020081,16292400136,2
TF1810050020081,16292400137,1
TF1810050020081,26241802637,1
TF1810050020081,26241802636,3
TF1810050020081,26241807637,2
TF1810050020081,26241807638,2
TF1810050020081,16292320037,2
TF1810050020081,15292313036,2
TF1810050020081,15292313035,2
TF1810050020160,18293306234,3
TF1810050020160,18293306235,1
TF1810050020160,18293306236,2
TF1810050020160,18293306237,2
TF1810050020160,18293306238,1
TF1810050020160,18293306239,2
TF1810050009405,18121118441,3
TF1810050009405,18143111743,2
TF1810050009405,18121118440,3
TF1810050009405,18121118438,1
TF1810050009405,18143111739,1
TF1810050009405,18121118442,2
TF1810050009405,18121118439,1
TF1810050020376,28242914635,1
TF1810050020376,28242914636,2
TF1810050020376,28242914637,3
TF1810050020376,28242914638,2
TF1810050020376,28242914639,3
TF1810050009236,85202900534,1
TF1810050009236,85202900535,3
TF1810050009236,85202900536,2
TF1810050009236,85202900537,1
TF1810050009236,85202900538,2
TF1810050009236,85202900539,1
TF1810050020364,28247909035,2
TF1810050020364,28247909036,2
TF1810050020364,28247909037,2
TF1810050020364,28247909038,3
TF1810050020364,28247909039,3
TF1810050020376,28247909035,3
TF1810050020376,28247909036,1
TF1810050020376,28247909037,3
TF1810050020376,28247909038,1
TF1810050020376,28247909039,2
TF1810050020155,18293306134,1
TF1810050020155,18293306135,3
TF1810050020155,18293306136,3
TF1810050020155,18293306137,2
TF1810050020155,18293306138,1
TF1810050020155,18293306139,3
TF1810050020145,15292309936,2
TF1810050020145,20026241136,3
TF1810050020145,16292400135,3
TF1810050020204,28247907335,2
TF1810050020204,28247907336,3
TF1810050020204,28247907337,2
TF1810050020204,28247907338,2
TF1810050020204,28247907339,3
TF1810050009257,7221205234,2
TF1810050009257,7221205236,2
TF1810050009257,7221205237,3
TF1810050009257,28881108342,1
TF1810050009257,28881108339,1
TF1810050009257,28881108341,1
TF1810050009257,18153501839,2
TF1810050009257,18127100041,2
TF1810050009257,18221131137,1
TF1810050009257,18221131136,1
TF1810050009257,18221131135,3
TF1810050009257,18243114738,1
TF1810050009257,18243114736,1
TF1810050009257,18121106038,2
TF1810050019637,16292300536,3
TF1810050019637,6291200838,3
TF1810050019637,16291108739,2
TF1810050019637,16291108738,3
TF1810050019637,6291200836,3
TF1810050019637,16291108735,2
TF1810050019637,6291200835,2
TF1810050019637,35291102935,3
TF1810050019637,26241800635,3
TF1810050009645,28132204639,1
TF1810050009645,28132204742,2
